WSJ1829:0	[Silicon Valley] :[/LOCATION] heaved a sigh of relief yesterday .

WSJ1440:27	Among his favorites in his firm 's index are [Legent] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Silicon Graphics] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [Novell] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1440:29	[Mark Schoeppner] :[/PERSON] , portfolio manager at Pittsburgh-based [Quaker Capital Management] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , says that in reaction to nervousness about debt-laden buy-out transactions , analysts and investors now appear to be `` valuing stock based on future earnings as opposed to the amount of debt the company can support . ''

WSJ1440:30	[Barney Hallingby] :[/PERSON] , managing director of research at Hambrecht & amp ; Quist , also believes earnings growth is beginning to play a greater part in investors ' buying decisions .

WSJ1440:31	[St. Jude Medical] :[/PERSON] to the list of 20 stocks it strongly recommends .

WSJ1440:32	The opinion is largely based on the company 's earnings momentum , Mr. [Hallingby] :[/PERSON] says .

WSJ1440:33	[St. Jude] :[/LOCATION] 's market value on [Nasdaq] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] exceeds $ 1 billion , so it is n't a small stock .

WSJ1440:35	[Kurt Kruger] :[/PERSON] , who follows the stock for Hambrecht & amp ; Quist , anticipates that the company 's net income will grow 51 % to $ 2.15 a share this year .

WSJ1440:36	[St. Jude] :[/GPE] finished up 1\/4 to 44 on Friday .

WSJ1440:42	[Valley National] :[/ORGANIZATION] lost 1 to 17 on volume of 1.9 million shares .

WSJ1440:44	[Merchants Bank of New York] :[/LOCATION] lost 1 to 106 after reporting that its third-quarter net income fell to $ 1.62 a share from last year 's $ 1.67 a share .

WSJ1440:45	[Eliot Savings Bank] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] lost 7\/8 to 1 after reporting that it had a $ 4.8 million loss in the latest third quarter mostly because of loan-loss provisions .

WSJ1440:48	[BanPonce] :[/ORGANIZATION] jumped 4 to 47 after agreeing to be acquired by [Banco Popular de Puerto Rico] :[/LOCATION] for $ 56.25 a share .

WSJ1440:49	[Banco Popular] :[/ORGANIZATION] , meanwhile , dropped 1 to 21 .

WSJ1440:50	[Sierra Tucson] :[/GPE,/GPE/CITY] , an initial public offering , made the most active list .

WSJ1440:52	[Sierra Tucson] :[/GPE,/GPE/CITY] operates an addiction treatment center .

WSJ1440:53	Among declining issues , a weak earnings outlook drove [Groundwater Technology] :[/PERSON] down 6 to 24 .

WSJ1440:55	[Medstone International] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] plummeted 3 to 7 .

WSJ1440:56	A [Food and Drug Administration] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] advisory panel has asked that [Medstone] :[/LOCATION] perform more studies on its device to treat gallstones .

WSJ1440:57	[Qintex Entertainment] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] dropped 2 to 1 after seeking protection from creditor lawsuits under [Chapter 11] :[/WORK_OF_ART] of the federal [Bankruptcy Code] :[/ORGANIZATION] for itself and its two operating subsidiaries , [Hal Roach Studios] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [Qintex Productions] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1440:58	[Raymond Corp.] :[/ORGANIZATION] lost 1 to 10 after it said late Thursday that it will take a $ 4.4 million charge in its third quarter for reserves to cover potential charges in connection with the closing and sale of a manufacturing plant .

WSJ1440:60	[McCaw Cellular Communications] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and its target , [LIN Broadcasting] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , were active .

WSJ1440:61	[LIN] :[/ORGANIZATION] added 5\/8 to 110 and [McCaw] :[/ORGANIZATION] lost 1\/4 to 41 .

WSJ1440:62	[McCaw] :[/ORGANIZATION] said it has secured commitments from three banks to help finance its $ 125-a-share bid for 22 million of [Lin] :[/PERSON] 's shares .

WSJ1440:63	[McCaw] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] has called for a `` fair auction '' of [LIN] :[/ORGANIZATION] , which earlier entered a stock-swap merger pact with [BellSouth] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1440:64	Following the release of the company 's fourth-quarter earnings , [Apple Computer] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] dropped 3\/4 to 48 on volume of more than 2.3 million shares .

WSJ1440:65	[Apple] :[/ORGANIZATION] earned $ 161.1 million , or $ 1.24 a share , in the quarter , including $ 48 million from the sale of its [Adobe Systems] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] stock .

WSJ1441:0	The following were among Friday 's offerings and pricings in the [U.S.] :[/GPE/COUNTRY,/GPE,/SUBSTANCE/DRUG,/GPE/CITY,/ORGANIZATION/GOVERNMENT,/LOCATION/REGION,/LOCATION,/PRODUCT,/PLANT,/SUBSTANCE/FOOD,/SUBSTANCE,/WORK_OF_ART,/ORGANIZATION/CORPORATION,/WORK_OF_ART/BOOK,/ORGANIZATION,/EVENT,/EVENT/WAR,/PRODUCT/WEAPON,/FACILITY,/CONTACT_INFO,/CONTACT_INFO/url,/GPE/STATE_PROVINCE,/PRODUCT/VEHICLE] and non-U.S. capital markets , with terms and syndicate manager , as compiled by [Dow Jones Capital Markets Report] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] :

WSJ1441:1	.

WSJ1441:4	Debenture holders will also receive the equivalent of 10 % of the common stock of [CNW Holdings] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1441:5	[CNW Holdings] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] is declared effective by the Securities & amp ; Exchange Commission .

WSJ1441:7	[] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] [Moody 's Investors Service Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and single-B-minus by Standard & amp ; Poor 's Corp. , the issue will be sold through underwriters led by Donaldson Lufkin & amp ; Jenrette Securities Corp .

WSJ1441:8	[Tokuyama Soda Co .] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] ( [Japan] :[/GPE/COUNTRY,/GPE] ) -- $ 200 million of Eurobonds due Nov. 9 , 1993 , with equity-purchase warrants , indicating a 4 % coupon at par , via [Nomura International Ltd .] :[/ORGANIZATION/CORPORATION,/ORGANIZATION]

WSJ1444:0	The following issues were recently filed with the [Securities and Exchange Commission] :[/ORGANIZATION] :

WSJ1444:1	[Heller Financial Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , an indirect subsidiary of [Fuji Bank Ltd.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , shelf offering of up to $ 1 billion debt securities and warrants .

WSJ1444:2	[] :[/SUBSTANCE] [Jason Overseas Ltd.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , proposed offering of five million common shares , via Smith Barney & amp ; Co. and Mabon Nugent & amp ; Co .

WSJ1444:3	[MCI Communications Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , shelf offering of up to $ 750 million of debt securities via [Merrill Lynch Capital Markets] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Drexel Burnham Lambert Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , Goldman , Sachs & amp ; Co. , and [Salomon Brothers Inc] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1444:4	[Millicom Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , offering of $ 60 million subordinated exchangeable debentures , via Bear , Stearns & amp ; Co. . Inc .

WSJ1444:5	[Union Tank Car Co.] :[/ORGANIZATION] , offering of $ 100 million of equipment trust certificates , via [Salomon Brothers] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1445:0	[Conner Peripherals Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , which has a near-monopoly on a key part used in many portable computers , is on target to surpass [Compaq Computer Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] as the fastest-growing start-up manufacturing firm in [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] business history .

WSJ1445:1	[Conner] :[/ORGANIZATION] dominates the market for hard-disk drives used to store data in laptop computers .

WSJ1445:4	[San Jose] :[/GPE,/GPE/CITY] , Calif.-based company said net income jumped 84 % to $ 26.9 million , or 69 cents a share , from $ 14.6 million , or 43 cents a share .

WSJ1445:6	Analysts expect [Conner] :[/ORGANIZATION] 's earnings to reach roughly $ 40 million , or $ 1 to $ 1.05 a share , on sales of $ 650 million , for 1989 , the company 's third full year in business .

WSJ1445:7	That 's a faster growth rate than reported by [Compaq] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , which did n't post similar results until its fourth year , in 1986 .

WSJ1445:8	But [Compaq] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] had achieved that level of sales faster than any previous manufacturing start-up .

WSJ1445:9	[Conner] :[/ORGANIZATION] 's performance is closely tied to the burgeoning demand for battery-operated computers , the computer industry 's fastest-growing segment .

WSJ1445:10	Since its inception , [Conner] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] has both benefited from and helped make possible the rapid spread of portable computers by selling storage devices that consume five to 10 times less electricity than drives used in desktop machines .

WSJ1445:11	Today , [Conner] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] controls an estimated 90 % of the hard-disk drive market for laptop computers .

WSJ1445:12	The company supplies drives to [Compaq] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [Zenith Data Systems] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , the top two [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] manufacturers of laptops , and to [Toshiba Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [NEC Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [Sharp Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , the leading Japanese laptop makers .

WSJ1445:13	`` They 've had this field to themselves for over a year now , and they 've been greatly rewarded , '' said [Bob Katsive] :[/PERSON] , an analyst at [Disk\/Trend Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a market researcher in [Los Altos] :[/GPE] , [Calif] :[/GPE,/GPE/STATE_PROVINCE] .

WSJ1445:15	Next month , [Seagate Technology] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , which is the dominant supplier of hard-disk drives for personal computers , plans to introduce its first family of low-power drives for battery-operated computers .

WSJ1445:16	And the Japanese are likely to keep close on [Conner] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's heels .

WSJ1445:17	[David Claridge] :[/PERSON] , an analyst with Hambrecht & amp ; Quist .

WSJ1445:18	Both [Toshiba] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [NEC] :[/ORGANIZATION] already produce hard-disk drives , and [Sony] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] also is studying the field , Mr. [Claridge] :[/PERSON] said .

WSJ1445:19	But [Conner] :[/ORGANIZATION] is n't standing still .

WSJ1445:22	`` Most of our competitors are announcing products based on our ( older ) products , '' said [Finis Conner] :[/ORGANIZATION] , chief executive officer and founder of the firm that bears his name .

WSJ1445:24	These new products could account for as much as 35 % of the company 's business in 1990 , Mr. [Conner] :[/PERSON] estimated .

WSJ1445:26	[Conner] :[/ORGANIZATION] already is shipping its new drives .

WSJ1445:27	Last week , for instance , [Compaq] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] introduced its first notebook computer to rave reviews .

WSJ1445:28	[Conner] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] is supplying hard-disk drives for the machine , which weighs only six pounds and fits in a briefcase .

WSJ1445:29	From its inception , [Conner] :[/ORGANIZATION] has targeted the market for battery-operated machines , building hard-disk drives that are smaller and use far less power than those offered by competitors such as [Seagate] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1445:31	Conner also makes hard-disk drives for desktop computers and is a major supplier to [Compaq] :[/ORGANIZATION] , which as of July owned 40 % of [Conner] :[/ORGANIZATION] 's stock .

WSJ1445:32	Sales to [Compaq] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] represented 26 % of [Conner 's] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] business in its third quarter , compared with 42 % in the year-ago period .

WSJ1446:0	Move over , pornographic phone services : A legal service with a `` [900] :[/EVENT] '' number has been launched in [California] :[/GPE,/GPE/STATE_PROVINCE] .

WSJ1446:1	A [Newport Beach] :[/GPE,/GPE/CITY] law firm started the pay-as-you-go legal service , called [Telelawyer] :[/GPE] , using [MCI Communication Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's toll-tele-phone service .

WSJ1446:2	''

WSJ1446:3	Though the service is available only in [California] :[/GPE,/GPE/STATE_PROVINCE] , Telelawyer founder [Michael Cane] :[/PERSON] says he plans to franchise it in other states .

WSJ1446:5	Mr. [Cane] :[/PERSON] stresses that he is n't using the telephone to lure clients to his doorstep .

WSJ1446:10	There also are `` [800] :[/EVENT] '' hotlines which refer people to lawyers , usually personal-injury specialists , for in-office consultation .

WSJ1446:11	When a caller reaches Telelawyer by dialing [900-TELELAW] :[/PERSON] , a receptionist refers the call to one of six attorneys .

WSJ1446:12	In an effort to determine whether a caller has reason to sue , [Cane] :[/DISEASE] lawyers review documents and perform research , if necessary , with the help of three law clerks and several support staffers .

WSJ1446:14	If the matter requires further legal work or litigation , Mr. [Cane] :[/GPE,/GPE/CITY] says , his lawyers may refer the client to a law firm .

WSJ1446:15	.

WSJ1446:16	So far , says Mr. [Cane] :[/PERSON] , most calls have involved landlord-tenant problems , tax problems , divorce , and probate questions .

WSJ1446:19	JURY CONVICTS congressman in connection with [Wedtech Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] scandal .

WSJ1446:20	A federal court jury in [New York] :[/GPE,/GPE/CITY] found [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] Rep. [Robert Garcia] :[/PERSON] ( D. , [N.Y .] :[/PERSON] ) and his wife , [Jane Lee Garcia] :[/PERSON] , guilty of extorting $ 76,000 from [Wedtech] :[/ORGANIZATION] in return for official acts by the congressman .

WSJ1446:21	The jury also convicted them of extortion in obtaining a $ 20,000 , interest-free loan from a [Wedtech] :[/ORGANIZATION] officer .

WSJ1446:22	The jury found them guilty of conspiracy in obtaining the payments , some of which were disguised as fees for consulting services from Mrs. [Garcia] :[/PERSON] .

WSJ1446:23	[Wedtech] :[/ORGANIZATION] , which became embroiled in political-corruption cases that eventually led to its demise , formerly was a minority-owned [South Bronx] :[/GPE,/GPE/CITY] , [N.Y.] :[/GPE] , defense contractor .

WSJ1446:24	Edward J.M . Little , one of the assistant [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] attorneys who prosecuted the case , said the [Garcia] :[/PERSON] trial `` is the last of the [Wedtech] :[/ORGANIZATION] prosecutions . ''

WSJ1446:25	Mr. [Little] :[/PLANT] said more than 20 people have been convicted in the [Wedtech] :[/ORGANIZATION] cases , including former [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] Rep. [Mario Biaggi] :[/PERSON] ( D. , [N.Y .] :[/GPE] ) .

WSJ1446:26	Lawyers for the [Garcias] :[/PERSON] said they plan to appeal .

WSJ1446:27	Mr. [Garcia] :[/PERSON] , who represents [New York] :[/GPE] 's 18th congressional district , which includes the [Bronx] :[/LOCATION] , said he has n't decided whether he will resign .

WSJ1446:28	`` In the next few weeks , I will be consulting with my political advisers and with the Democratic leaders about the best way of preserving the interests of my constituents , '' said Mr. [Garcia] :[/PERSON] , 56 years old .

WSJ1446:29	Mrs. Garcia , 49 , formerly was a member of Mr. [Garcia] :[/GPE/COUNTRY,/GPE,/SUBSTANCE/DRUG,/GPE/CITY,/LOCATION/REGION,/LOCATION,/FACILITY/AIRPORT,/ORGANIZATION/MUSEUM,/LANGUAGE,/FACILITY/HIGHWAY_STREET,/PRODUCT,/PLANT,/SUBSTANCE/FOOD,/SUBSTANCE,/WORK_OF_ART,/ORGANIZATION/CORPORATION,/ORGANIZATION,/EVENT,/LOCATION/RIVER,/PRODUCT/WEAPON,/ORGANIZATION/EDUCATIONAL,/DISEASE,/PERSON,/FACILITY,/CONTACT_INFO,/CONTACT_INFO/url,/EVENT/HURRICANE,/FACILITY/ATTRACTION,/GPE/STATE_PROVINCE,/PRODUCT/VEHICLE,/ORGANIZATION/RELIGIOUS,/WORK_OF_ART/SONG] 's congressional staff .

WSJ1446:30	The [Garcias] :[/PERSON] were cleared of four other felony counts , involving the receipt of bribes and gratuities .

WSJ1446:31	[U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] Judge Leonard B . Sand set the [Garcias] :[/PERSON] ' sentencing for Jan. 5 .

WSJ1446:32	.

WSJ1446:33	[New York] :[/GPE] .

WSJ1446:34	[Tom Hutton] :[/PERSON] , [Sam Ingram] :[/PERSON] , [Dean Yuzek] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Daniel Carroll] :[/PERSON] and [Ernest Bertolotti] :[/PERSON] .

WSJ1446:35	[Larry Gainen] :[/PERSON] , who resigned from the firm of LePatner , Gainen & amp ; Block .

WSJ1446:36	[] :[/GAME] [Howard Rubenstein] :[/PERSON] , a [New York] :[/GPE] publicist who represents Shea & amp ; Gould , said , `` Shea & amp ; Gould understands they 're leaving because they wanted a different environment -- a smaller firm they would be principals of . ''

WSJ1446:37	[Rubenstein] :[/PERSON] said the five , who were n't on Shea & amp ; Gould 's management committee , `` are leaving on good terms . ''

WSJ1446:38	.

WSJ1446:39	[Hutton Ingram] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] will have a general corporate , securities , real-estate and litigation practice , and a substantial practice serving the professional-design community .

WSJ1446:40	DISCIPLINARY PROCEEDINGS against lawyers open to public in [Illinois] :[/GPE,/GPE/STATE_PROVINCE] .

WSJ1446:43	In addition , [Illinois] :[/GPE,/GPE/STATE_PROVINCE] attorneys will lose the right to sue clients who file malicious complaints against them .

WSJ1446:45	[Illinois] :[/GPE] joins 36 other states that allow public participation in attorney-disciplinary proceedings and 32 states that open disciplinary hearings to the public , according to the [American Bar Association] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1446:46	One vocal critic of the changes , [Chicago] :[/GPE,/GPE/CITY] lawyer [Warren Lupel] :[/PERSON] , says non-lawyers should n't be on the inquiry panels because they are unlikely to appreciate the nuances of attorney-client relationships .

WSJ1446:48	Nevertheless , Mr. [Lupel] :[/GPE] anticipates no legal action to reverse the [Illinois Supreme Court] :[/ORGANIZATION] 's decision to institute the changes .

WSJ1446:52	[DREXEL BURNHAM LAMBERT Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] agreed to pay a $ 50,000 fine to [Delaware] :[/GPE,/GPE/STATE_PROVINCE] , the 26th state to settle with [Drexel] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] in the wake of the firm 's guilty plea to federal insider-trading charges .

WSJ1446:53	[Drexel] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] does n't have a [Delaware] :[/GPE,/GPE/STATE_PROVINCE] office , but the [New York] :[/GPE] firm has been negotiating settlements that would allow it to operate freely nationwide despite its record as an admitted felon .

WSJ1446:55	[Drexel] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] pleaded guilty in September to six felony counts of securities and mail fraud ; it also made a $ 650 million civil settlement with the [Securities and Exchange Commission] :[/ORGANIZATION] .

WSJ1850:0	[Japan Air Lines] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Lufthansa German Airlines] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [Air France] :[/ORGANIZATION] reportedly plan to form an international air-freight company this year , a move that could further consolidate the industry .

WSJ1850:1	Japanese newspaper [Nihon Keizai Shimbun] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] reported that the three giants plan to integrate their cargo computers and ground-cargo and air-cargo systems .

WSJ1850:2	They reportedly will invest a total of 20 billion yen ( $ 140 million ) in the venture , whose headquarters would be in [France] :[/GPE/COUNTRY,/GPE] or [West Germany] :[/GPE] .

WSJ1850:3	The action follows [Federal Express Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's acquisition of [Flying Tiger Line Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] in August .

WSJ1850:4	[Cotton Daly] :[/PERSON] , director of cargo services for [New York] :[/GPE] consulting firm Simat , Helliesen & amp ; Eichner Inc .

WSJ1850:5	Mr. [Daly] :[/PERSON] said such discussions are motivated by the competitive threat posed by [Federal Express] :[/ORGANIZATION] , [United Parcel Service of America Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and other fast-growing air-freight companies .

WSJ1850:6	Many airlines are talking about cargo ventures , and there have been rumors about such a tie between [JAL] :[/GPE/COUNTRY,/GPE] and European airlines .

WSJ1850:7	In [Tokyo] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a [JAL] :[/GPE/COUNTRY,/GPE] spokesman said he could n't confirm or deny the latest Japanese report .

WSJ1850:8	But he said [JAL] :[/GPE] is talking to [Lufthansa] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [Air France] :[/ORGANIZATION] about some sort of cargo venture .

WSJ1850:9	`` It is just one of a number of strategies [JAL] :[/ORGANIZATION] has embarked upon to come to terms with the situation in [Europe] :[/LOCATION/REGION,/LOCATION] after 1992 , '' the deadline for ending trade barriers in the [EC] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] , he said .

WSJ1850:10	In [Frankfurt] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a [Lufthansa] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] spokesman confirmed talks are under way , but declined to comment .

WSJ1850:11	A Lufthansa spokeswoman in [Tokyo] :[/GPE,/GPE/CITY] said the head of [Lufthansa] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's cargo operations had been in [Toyko] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] last week for talks with [JAL] :[/GPE/COUNTRY,/GPE] .

WSJ1850:12	In [Paris] :[/GPE] , [Air France] :[/ORGANIZATION] declined to comment .

WSJ1850:13	`` Nothing is defined or signed at this point , '' Mr. [Daly] :[/PERSON] said of the talks .

WSJ1850:16	According to figures from the [International Air Transport Association] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , they carried a combined 1.8 million tons of freight last year .

WSJ1850:17	[Federal Express] :[/ORGANIZATION] and [Flying Tiger] :[/ORGANIZATION] , as separate companies , carried a combined 2.6 million tons .

WSJ1850:18	[Air France] :[/ORGANIZATION] and [Lufthansa] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] last month concluded a far-reaching cooperation accord that includes air-freight activities .

WSJ1850:21	Both European airlines operate extensive fleets of [Boeing] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 747 freighters and [747 Combis] :[/ORGANIZATION] Combis , aircraft that carry both freight and passengers on the main deck .

WSJ1850:23	Several airlines , including [Lufthansa] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [JAL] :[/GPE/COUNTRY,/GPE] and [Cathay Pacific Airways] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , are working on a so-called global cargo system and are trying to attract other carriers to join , Mr. [Daly] :[/PERSON] said .

WSJ1850:24	[JAL] :[/GPE/COUNTRY,/GPE] also has signaled it is looking for toeholds in [Europe] :[/LOCATION] before the end of 1992 .

WSJ1850:25	Last month , the carrier said it wanted to lease crews and planes from [British Airways] :[/ORGANIZATION] so it could funnel its passengers from [London] :[/GPE,/GPE/CITY] to other European destinations .

WSJ1850:26	[British Airways] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said it has n't received a proposal from [JAL] :[/GPE/COUNTRY,/GPE] .

WSJ1850:27	But last week there were air-traffic negotiations between the U.K. and [Japan] :[/GPE/COUNTRY,/GPE] , a likely first step to any commercial agreement between [JAL] :[/GPE/COUNTRY,/GPE] and [British Airways] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] or another [U.K.] :[/GPE/COUNTRY,/GPE] carrier .

WSJ1859:0	[Hunter Environmental Services Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said it reached a preliminary accord on the sale of its environmental consulting and services business for about $ 40 million and assumption of related debt .

WSJ1859:3	In addition , [Hunter] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said it will use proceeds from a private placement of $ 8 million of preferred shares to purchase an interest in a start-up company to underwrite environmental impairment insurance .

WSJ1859:4	[Hunter] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] wants to concentrate its resources on the insurance business and on a project to store hazardous [wastes] :[/DISEASE] in salt domes .

WSJ1862:0	[The Wall Street Journal] :[/WORK_OF_ART,/WORK_OF_ART/BOOK] `` [American Way of Buying] :[/ORGANIZATION] '' Survey consists of two separate , door-to-door nationwide polls conducted for the [Journal] :[/WORK_OF_ART,/WORK_OF_ART/BOOK] by [Peter D. Hart Research Associates] :[/PERSON] and the [Roper Organization] :[/ORGANIZATION] .

WSJ1862:2	The poll conducted by [Peter D. Hart Research Associates] :[/PERSON] interviewed 2,064 adults age 18 and older from June 15 to June 30 , 1989 .

WSJ1862:3	The poll conducted by the [Roper Organization] :[/ORGANIZATION] interviewed 2,002 adults age 18 and older from July 7 to July 15 , 1989 .

WSJ1862:4	Responses were weighted on the basis of age and gender to conform with [U.S. Census] :[/ORGANIZATION] data .

WSJ1862:5	For each poll , the odds are 19 out of 20 that if pollsters had sought to survey every household in the [U.S.] :[/GPE/COUNTRY,/GPE] using the same questionnaire , the findings would differ from these poll results by no more than 2 percentage points in either direction .

WSJ1866:2	Ever since that fearful [Black Monday] :[/EVENT] , they 've been tirelessly wooing wary individual investors -- trying to convince them that Oct. 19 , 1987 , was a fluke and that the stock market really is a safe place for average Americans to put their hard-earned dollars .

WSJ1866:4	[Leslie Quick Jr.] :[/PERSON] , chairman , of discount [brokers] :[/ORGANIZATION] Quick & amp ; Reilly Group Inc .

WSJ1866:8	`` It 's going to set things back for a period , because it reinforces the concern of volatility , '' says Jeffrey B . Lane , president of [Shearson Lehman Hutton Inc .] :[/ORGANIZATION/CORPORATION,/ORGANIZATION]

WSJ1866:12	`` The kinds of questions you had before have resurfaced , '' says Raymond A . `` Chip '' Mason , chairman of regional brokerage firm [Legg Mason Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Baltimore] :[/GPE,/GPE/CITY] .

WSJ1866:13	`` I can just tell the questions are right back where they were : ` What 's going on ? , ' ` Ca n't anything be done about program trading ? , ' ` Does n't the exchange understand ? , ' ` Where is the [SEC] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] on this ? ' ''

WSJ1866:14	Mr. [Mason] :[/PERSON] says he 's convinced the public still wants to invest in common stocks , even though they believe the deck is stacked against them .

WSJ1866:16	[Shearson] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and Merrill Lynch & amp ; Co. that have big `` retail , '' or individual-investor , businesses .

WSJ1866:20	.

WSJ1866:23	A slightly higher percentage of [New York Stock Exchange] :[/ORGANIZATION] volume has been attributed to retail investors in recent months compared with post-crash 1988 , according to [Securities Industry Association] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] data .

WSJ1866:24	In 1987 , an average 19.7 % of [Big Board] :[/ORGANIZATION] volume was retail business , with the monthly level never more than 21.4 % .

